id,text,label,departure,destination
148,"Je dois aller à Servon-sur-Vilaine pour une réunion, je pars de Monts",VALID,Monts,Servon-sur-Vilaine
149,La ville de Poligny est belle,INVALID,,
150,le cendre - orcet - st-germain-st-rémy,VALID,Le Cendre - Orcet,St-Germain-St-Rémy
151,je voudrais une pizza,INVALID,,
152,A quelle heure part un aller-simple a destination de Vignory ?,VALID,,Vignory
153,Réserve moi une place pour Le Bousquet-d'Orb en provenance de Neuilly Porte Maillot RER E,VALID,Neuilly Porte Maillot RER E,Le Bousquet-d'Orb
154,Il me faut un aller-simple au départ de Balbigny pour Galuzot,VALID,Balbigny,Galuzot
155,train Petit-Croix Ussel,VALID,Petit-Croix,Ussel
156,réserve moi une place pour billy-montigny en provenance de menton garavan,VALID,Menton Garavan,Billy-Montigny
157,Trouve-moi un billet entre Aime - La Plagne et Meriel,VALID,Aime - La Plagne,Mériel
158,La ville de Recquignies est belle,INVALID,,
159,"Bonjour Eugène, comment ça va ?",INVALID,,
160,un billet en direction de drusenheim de lentilly charpenay,VALID,Lentilly Charpenay,Drusenheim
161,quels sont les une liaison vers clelles - mens ?,VALID,,Clelles - Mens
162,billet Osséja depuis Freistroff,VALID,Freistroff,Osséja
163,Y a-t-il un billet en direction de Lutterbach-Tram-Train ?,VALID,,Lutterbach-Tram-Train
164,Réserve moi une place pour Champagne-sur-Seine en provenance de La Roche-sur-Foron,VALID,La Roche-sur-Foron,Champagne-sur-Seine
165,Pourriez-vous me trouver unt rajet venant de Baccarat jusqu'a Jouy-en-Josas,VALID,Baccarat,Jouy-en-Josas
166,Raconte moi une blague,INVALID,,
167,"je dois aller a ferrieres - fontenay pour une reunion, je pars de coussac-bonneval",VALID,Coussac-Bonneval,Ferrières - Fontenay
168,A quelle heure part un voyage vers Plancoet ?,VALID,,Plancoët
169,un trajet jusqu'à Lapeyrouse en partant de St-Germain-St-Rémy,VALID,St-Germain-St-Rémy,Lapeyrouse
170,quels sont les un train a ossun ?,VALID,,Ossun
171,un train à Muhlbach-sur-Munster depuis Sarcelles - Saint-Brice,VALID,Sarcelles - Saint-Brice,Muhlbach-sur-Munster
172,je voudrais une pizza,INVALID,,
173,train Niort Pompadour,VALID,Niort,Pompadour
174,cherche une liaison entre dives-sur-mer port guillaume et la roche-maurice,VALID,Dives-sur-Mer Port Guillaume,La Roche-Maurice
175,trouve-moi un billet entre évry-courcouronnes et limeyrat,VALID,Évry-Courcouronnes,Limeyrat
176,Landrecies - Béning-lès-Saint-Avold,VALID,Landrecies,Béning-lès-Saint-Avold
177,lezennes - lauterbourg,VALID,Lezennes,Lauterbourg
178,Je voudrais une pizza,INVALID,,
179,Je cherche mon ami Lorraine,INVALID,,
180,train commercy villeneuve-sur-allier,VALID,Commercy,Villeneuve-sur-Allier
181,Reserve moi une place pour Saint-Saviol en provenance de Tierce,VALID,Tiercé,Saint-Saviol
182,Go pour une liaison entre Cordes - Vindrac et Bertry,VALID,Cordes - Vindrac,Bertry
183,"Je dois aller a Woincourt pour une reunion, je pars de Haguenau",VALID,Haguenau,Woincourt
184,pourriez-vous me trouver un tgv de couzon-au-mont-d'or pour pornichet,VALID,Couzon-au-Mont-d'Or,Pornichet
185,Y a-t-il un TER jusqu'à Challans ?,VALID,,Challans
186,"je dois aller à nîmes pont d ugard pour une réunion, je pars de musée d'orsay",VALID,Musée d'Orsay,Nîmes Pont du Gard
187,raconte moi une blague,INVALID,,
188,billet Boulogne-sur-Mer depuis Étainhus - Saint-Romain,VALID,Étainhus - Saint-Romain,Boulogne-sur-Mer
189,Trouve-moi un train entre Avesnes-sur-Helpe et Oulchy-Breny,VALID,Avesnes-sur-Helpe,Oulchy-Breny
190,La ville de Touët-de-l'Escarène est belle,INVALID,,
191,bersac-sur-rivalier - langeac,VALID,Bersac-sur-Rivalier,Langeac
192,Chateau-du-Loir - Barjac,VALID,Château-du-Loir,Barjac
193,train Maaglas Mesvres,VALID,Magalas,Mesvres
194,Je veux un TER depuis La Ferte-Bernard pour Saint-Hilaire - Saint-Nazaire,VALID,La Ferté-Bernard,Saint-Hilaire - Saint-Nazaire
195,Kruth - Saint-Romain-le-Puy,VALID,Kruth,Saint-Romain-le-Puy
196,Réserve moi une place pour Bagnols - Chadenet en provenance de La Fresnais,VALID,La Fresnais,Bagnols - Chadenet
197,réserve moi une place pour janzé en provenance de halcuhère batignolles,VALID,Haluchère Batignolles,Janzé
198,Raconte moi une blague,INVALID,,
199,Versailles Rive Droite - Les Églisottes-et-Chalaures,VALID,Versailles Rive Droite,Les Églisottes-et-Chalaures
200,un aller au Saint-Georges-de-Reneins du côté de Sélestat,VALID,Sélestat,Saint-Georges-de-Reneins
201,est-ce qu'il y a une liaison au saint-maixent-l'école ?,VALID,,Saint-Maixent-L'École
202,"bonjour marcel, comment ça va ?",INVALID,,
203,Je cherche mon ami Guillaume,INVALID,,
204,"je dois aller a brioude pour une reunion, je pars de ytrac",VALID,Ytrac,Brioude
205,un billet à destination de pamproux en partant de limeray,VALID,Limeray,Pamproux
206,cherche un voyage entre vigneux-sur-seine et vonnas,VALID,Vigneux-sur-Seine,Vonnas
207,Est-ce qu'il y a un train jusqu'à Clamecy ?,VALID,,Clamecy
208,est-ce qu'il y a un trajet à plaisir - les clayes ?,VALID,,Plaisir - Les Clayes
209,Je m'appelle Chouzy-sur-Cisse,INVALID,,
210,est-ce qu'il y a un voyage à destination de montauban ville bourbon ?,VALID,,Montauban Ville Bourbon
211,billet Rolleville depuis Bourg-Saint-Maurice,VALID,Bourg-Saint-Maurice,Rolleville
212,Je cherche un TGV depuis Bondy en direction de Mourmelon-le-Petit,VALID,Bondy,Mourmelon-le-Petit
213,Réserve moi une place pour Avoudrey en provenance de Ballan-Miré,VALID,Ballan-Miré,Avoudrey
214,Y a-t-il un aller-simple au Auvers-sur-Oise ?,VALID,,Auvers-sur-Oise
215,réserve moi une place pour brion - montréal-la-cluse en provenance de cosne-cours-sur-loire,VALID,Cosne-Cours-sur-Loire,Brion - Montréal-la-Cluse
216,"Je dois aller a Oullins pour une reunion, je pars de Baraqueville Carcenac Peyrales",VALID,Baraqueville Carcenac Peyralès,Oullins
217,Quel temps fait-il a Orangis Bois de l'Epine ?,INVALID,,
218,je veux un aller de bessancourt au cerizay,VALID,Bessancourt,Cerizay
219,Gorges - Pagny-sur-Moselle,VALID,Gorges,Pagny-sur-Moselle
220,train Bologne Brion - Montréal-la-Cluse,VALID,Bologne,Brion - Montréal-la-Cluse
221,un trajet à destination de collonges-lès-premières depuis villers-cotterêts,VALID,Villers-Cotterêts,Collonges-lès-Premières
222,billet arcacho ndepuis conflans - jarny,VALID,Conflans - Jarny,Arcachon
223,train couze santeuil - le perchay,VALID,Couze,Santeuil - Le Perchay
224,lozanne - port-de-bouc,VALID,Lozanne,Port-de-Bouc
225,Affiche une place entre Crissé et Lalinde,VALID,Crissé,Lalinde
226,existe-t-il un tgv à siant-leu-la-forêt ?,VALID,,Saint-Leu-la-Forêt
227,Saint-Saviol - Fécamp,VALID,Saint-Saviol,Fécamp
228,existe-t-il un tgv jusqu'à recquignies ?,VALID,,Recquignies
229,quels sont les un aller à destination de tonnerre ?,VALID,,Tonnerre
230,Quel temps fait-il a Firminy ?,INVALID,,
231,J'ai besoin de un TER au depart de Gazinet Cestas jusqu'a La Chapelle Centre,VALID,Gazinet Cestas,La Chapelle Centre
232,bouchain - folligny,VALID,Bouchain,Folligny
233,y a-t-il une liaison jusqu'à toulon sainte-musse ?,VALID,,Toulon Sainte-Musse
234,La ville de Herrlisheim-près-Colmar est belle,INVALID,,
235,y a-t-il un train a destination de prunay ?,VALID,,Prunay
236,je m'appelle orchamps,INVALID,,
237,réserve moi une place pour voivres-lès-le-mans en provenance de baccarat,VALID,Baccarat,Voivres-lès-le-Mans
238,Recherche un TGV en partant de Le Creusot - Montceau-les-Mines - Montchanin TGV à destination de Escalquens,VALID,Le Creusot - Montceau-les-Mines - Montchanin TGV,Escalquens
239,go pour une liaison entre raves-ban-de-laveline et paris saint-lazare,VALID,Raves-Ban-de-Laveline,Paris Saint-Lazare
240,la ville de les cehets est belle,INVALID,,
241,Quels sont les un TGV au Saint-Hilaire-de-Riez ?,VALID,,Saint-Hilaire-de-Riez
242,Je m'appelle Eragny - Neuville,INVALID,,
243,"Je dois aller à Le Rouget pour une réunion, je pars de Trégonneau - Squiffiec",VALID,Trégonneau - Squiffiec,Le Rouget
244,je voudrais unep izza,INVALID,,
245,billet Les Boullereaux Champigny depuis Trie-Chateau,VALID,Trie-Château,Les Boullereaux Champigny
246,liesle - villiers - neauphle - pontchartrain,VALID,Liesle,Villiers - Neauphle - Pontchartrain
247,Y a-t-il un trajet à La Baule-Escoublac ?,VALID,,La Baule-Escoublac
248,un aller au Tournay partant de Pierrelaye,VALID,Pierrelaye,Tournay
249,billet sarrance depuis bugeat,VALID,Bugeat,Sarrance
250,Raconte moi une blague,INVALID,,
251,Quel temps fait-il à Saint-Vallier sur Rhône ?,INVALID,,
252,train Woincourt Taconnaz,VALID,Woincourt,Taconnaz
253,billet Vic-sur-Cere dpeuis Saint-Michel - Valloire,VALID,Saint-Michel - Valloire,Vic-sur-Cère
254,Est-ce qu'il y a un train au Vrigne-Meuse ?,VALID,,Vrigne-Meuse
255,Pontmort - Conflans Fin d'Oise,VALID,Pontmort,Conflans Fin d'Oise
256,je cherche un tgv du cote de genelard pour xertigny,VALID,Génelard,Xertigny
257,une place à destination de le pénity depuis gardanne,VALID,Gardanne,Le Pénity
258,Brimeux - Chissay-en-Touraine,VALID,Brimeux,Chissay-en-Touraine
259,"je dois aller a bessay-sur-allier pour une reunion, je pars de l'etang les sablons",VALID,L'Etang les Sablons,Bessay-sur-Allier
260,"je dois aller à verneuil-sur-serre pour une réunion, je pars de collioure",VALID,Collioure,Verneuil-sur-Serre
261,"Je dois aller a Reims Maison Blanche pour une reunion, je pars de Nantes",VALID,Nantes,Reims Maison Blanche
262,un aller a destination de wesserling au depart de allassac,VALID,Allassac,Wesserling
263,"je dois aller a les pavillons-sous-bois pour une reunion, je pars de dardilly les mouilles",VALID,Dardilly Les Mouilles,Les Pavillons-sous-Bois
264,saint-julien-en-genevois - servon-sur-vilaine,VALID,Saint-Julien-en-Genevois,Servon-sur-Vilaine
265,train Brebières Laroquebrou,VALID,Brebières,Laroquebrou
266,je souhaite un ter en partant de les quatre roues à destination de herblay,VALID,Les Quatre Roues,Herblay
267,billet la bastide - saint-laurent-les-bains depuis saint-cyprien arènes,VALID,Saint-Cyprien Arènes,La Bastide - Saint-Laurent-les-Bains
268,Donne-omi un voyage entre Castelnaudary et Cramoisy,VALID,Castelnaudary,Cramoisy
269,train Gresswiller Agay,VALID,Gresswiller,Agay
270,est-ce qu'il y a un aller-simple en direction de carbonne ?,VALID,,Carbonne
271,"Je dois aller à Évreux Normandie pour une réunion, je pars de Seurre",VALID,Seurre,Évreux Normandie
272,Quels sont les un billet au Buno - Gironville ?,VALID,,Buno - Gironville
273,billet oloron-sainet-marie depuis boigneville,VALID,Boigneville,Oloron-Sainte-Marie
274,c'est quoi le sens de la vie ?,INVALID,,
275,évreux normandie - chantonnay,VALID,Évreux Normandie,Chantonnay
276,ustaritz jatxou - dreuil-lès-amiens,VALID,Ustaritz Jatxou,Dreuil-lès-Amiens
277,existe-t-il une place pour romilly-la-puthenaye ?,VALID,,Romilly-la-Puthenaye
278,"Je dois aller à Château-Renault pour une réunion, je pars de La Hisse",VALID,La Hisse,Château-Renault
279,un voyage a Vernon - Giverny depuis Lapeyrouse,VALID,Lapeyrouse,Vernon - Giverny
280,train Raedersheim Igney,VALID,Raedersheim,Igney
281,Y a-t-il un billet jusqu'à Chalais ?,VALID,,Chalais
282,Raconte moi une blague,INVALID,,
283,Je veux un aller-simple venant de Mérens-les-Vals pour La Tricherie,VALID,Mérens-les-Vals,La Tricherie
284,je cherche un tgv partant de hermes - berthecourt au fontpédrouse,VALID,Hermes - Berthecourt,Fontpédrouse
285,Réserve moi une place pour Sains-du-Nord en provenance de Jeumont,VALID,Jeumont,Sains-du-Nord
286,Go pour un billet entre Viry-Châtillon et Pougues-les-Eaux,VALID,Viry-Châtillon,Pougues-les-Eaux
287,montluçon - lucé,VALID,Montluçon,Lucé
288,train Latour-de-Carol - Enveitg Illfurth,VALID,Latour-de-Carol - Enveitg,Illfurth
289,je cherche mon ami nicole,INVALID,,
290,un train a Provencheres-sur-Fave partant de Heilly,VALID,Heilly,Provenchères-sur-Fave
291,Pantin - La Levade,VALID,Pantin,La Levade
292,raconte moi une blague,INVALID,,
293,billet saint-sébastien pas enchantés depuis woippy,VALID,Woippy,Saint-Sébastien Pas Enchantés
294,C'est quoi le sens de la vie ?,INVALID,,
295,train Hellemmes Saint-Sulpice - Auteuil,VALID,Hellemmes,Saint-Sulpice - Auteuil
296,"je dois aller à tonneins pour une réunion, je pars de gargenville",VALID,Gargenville,Tonneins
297,"Je dois aller a Genolhac pour une reunion, je pars de Aix-les-Bains le Revard",VALID,Aix-les-Bains le Revard,Génolhac
298,"je dois aller à petit-croix pour une réunion, je pars de la celle-saint-cloud",VALID,La Celle-Saint-Cloud,Petit-Croix
299,C'est quoi le sens de la vie ?,INVALID,,
300,train Peillon-Ste-Thècle Belleville sur Sâone,VALID,Peillon-Ste-Thècle,Belleville sur Sâone
301,Reserve moi une place pour Paris Austerlitz en provenance de Dieupentale,VALID,Dieupentale,Paris Austerlitz
302,Reserve moi une place pour Bedous en provenance de Lachaud Curmilhac,VALID,Lachaud Curmilhac,Bedous
303,Douai - Frontenex,VALID,Douai,Frontenex
304,train la bonneville-sur-iton meudon val fleury,VALID,La Bonneville-sur-Iton,Meudon Val Fleury
305,trouve-moi un aller entre la membrolle-sur-choisille et la chaize-le-vicomte,VALID,La Membrolle-sur-Choisille,La Chaize-le-Vicomte
306,Reserve moi une place pour Orchamps en provenance de Groslay,VALID,Groslay,Orchamps
307,C'est quoi le sens de la vie ?,INVALID,,
308,billet La Frette - Montigny depuis Salechan-Siradan,VALID,Saléchan-Siradan,La Frette - Montigny
309,un train en direction de vitry-en-artois pratant de lutterbach (haut-rhin),VALID,Lutterbach (Haut-Rhin),Vitry-en-Artois
310,J'ai besoin de une liaison de Saint-Laurent-du-Var à Tournus,VALID,Saint-Laurent-du-Var,Tournus
311,Y a-t-il un aller à L'Isle-Jourdain ?,VALID,,L'Isle-Jourdain
312,Quel temps fait-il a Ille-sur-Tet ?,INVALID,,
313,Callac - Nonant-le-Pin,VALID,Callac,Nonant-le-Pin
314,je cherche un ter de bollène la croisière pour montfort-l'amuary - méré,VALID,Bollène La Croisière,Montfort-l'Amaury - Méré
315,Réserve moi une place pour Wambrechies en provenance de Saint-Malo,VALID,Saint-Malo,Wambrechies
316,donne-moi un aller entre cherbourg-en-cotentin et montferrand - thoraise,VALID,Cherbourg-en-Cotentin,Montferrand - Thoraise
317,quel temps fait-il à la fresnais ?,INVALID,,
318,un train à destination de servon-sur-vilaine depuis lisieux,VALID,Lisieux,Servon-sur-Vilaine
319,un train a Porte de Clichy venant de Septemes-les-Vallons,VALID,Septèmes-les-Vallons,Porte de Clichy
320,c'est quoi le sens de la vie ?,INVALID,,
321,quel temps fait-il à pierrelaye ?,INVALID,,
322,Raconte moi une blague,INVALID,,
323,"Je dois aller a Exideuil-sur-Vienne pour une reunion, je pars de Chaingy Fourneaux Plage",VALID,Chaingy Fourneaux Plage,Exideuil-sur-Vienne
324,donne-moi u ntrain entre dijon porte neuve et laveline-devant-bruyères,VALID,Dijon Porte Neuve,Laveline-devant-Bruyères
325,go pour une liaison entre herbitzheim et saulon,VALID,Herbitzheim,Saulon
326,un TER au Freteval - Moree venant de Nomain,VALID,Nomain,Fréteval - Morée
