sentence_id,sentence,intent,departure,destination,intermediate
S001511,billet aspres-sur-buech nort-sur-erdre,TRIP,Aspres-sur-Buëch,Nort-sur-Erdre,
S007043,A bientot,NOT_TRIP,,,
S002774,Un billet de Herny a Acheres Ville,TRIP,Herny,Achères Ville,
S008740,I want aller a Paris,NOT_FRENCH,,,
S008670,Quiero ir de Paris a Lyon,NOT_FRENCH,,,
S007146,j'aime les trains,NOT_TRIP,,,
S001598,Quel train de Bernay a Selles-Saint-Denis ?,TRIP,Bernay,Selles-Saint-Denis,
S003584,Demain je pars de Paris Austerlitz pour La Mothe-Achard,TRIP,Paris Austerlitz,La Mothe-Achard,
S000026,alençon vers barenton-bugny,TRIP,Alençon,Barenton-Bugny,
S006818,train de courville-sur-eure a la grave d'ambarès passant par bouaye,TRIP,Courville-sur-Eure,La Grave d'Ambarès,Bouaye
S005784,Je voyage de Bayonne a Boissise-le-Roi,TRIP,Bayonne,Boissise-le-Roi,
S004977,Les Flachères direction Mothern,TRIP,Les Flachères,Mothern,
S003032,Y a-t-il un train de Rougemont Chanteloup a Égly,TRIP,Rougemont Chanteloup,Égly,
S005313,Depart Carhaix-Plouguer arrivee Montpellier Sud de France,TRIP,Carhaix-Plouguer,Montpellier Sud de France,
S003804,châteaubourg puis ytrac,TRIP,Châteaubourg,Ytrac,
S000601,Est-ce qu'il y a un train de Chantonnay a Flaxlanden,TRIP,Chantonnay,Flaxlanden,
S005250,je voyage de la chapelle centre a sainte-cecile-d'andorge,TRIP,La Chapelle Centre,Sainte-Cécile-d'Andorge,
S002713,direction boucau au depart de cantin,TRIP,Cantin,Boucau,
S001604,le poirier université direction javel,TRIP,Le Poirier Université,Javel,
S002779,de aguilcourt - variscourt a la teste-de-buch,TRIP,Aguilcourt - Variscourt,La Teste-de-Buch,
S000186,Je veuax me rendre a AAvenue Henri Martin dn partant de Dives-sur-Mer - Cabourg,TRIP,Dives-sur-Mer - Cabourg,Avenue Henri Martin,
S008520,How do I get to Marseille,NOT_FRENCH,,,
S009125,Un biglietto per Marsiglia,NOT_FRENCH,,,
S008653,Un billete de tren por favor,NOT_FRENCH,,,
S002689,je vais a la frette - montigny depuis illiers-combray,TRIP,Illiers-Combray,La Frette - Montigny,
S005206,j'aimerais aller de servon-sur-vilaine a les mureaux,TRIP,Servon-sur-Vilaine,Les Mureaux,
S001284,lyon saint-paul vers saint-clément - laronxe,TRIP,Lyon Saint-Paul,Saint-Clément - Laronxe,
S005824,je pars de lille flandres et je vais a la forest-landerneau,TRIP,Lille Flandres,La Forest-Landerneau,
S006151,de soultz-sous-forêts vers chars avec correspondance a pont-saint-vincent,TRIP,Soultz-sous-Forêts,Chars,Pont-Saint-Vincent
S004469,je souhaite aller de domont a pontmort,TRIP,Domont,Pontmort,
S004523,Je voudrais me rendre a Trégonneau - Squiffiec depuis Aix-en-Provence,TRIP,Aix-en-Provence,Trégonneau - Squiffiec,
S009252,Je want to go Lyon,NOT_FRENCH,,,
S003460,Je dois aller de Le Blanc-Mesnil a Gravelines,TRIP,Le Blanc-Mesnil,Gravelines,
S009981,test test test,UNKNOWN,,,
S001983,Un train de Saint-Cyprien a Le Croisic pour demain,TRIP,Saint-Cyprien,Le Croisic,
S001110,"s'il vous plait, un trajet de villepreux - les clayes a urt",TRIP,Villepreux - Les Clayes,Urt,
S008902,How do I get to Marseille,NOT_FRENCH,,,
S002183,J'aimerzis alller de Corgoloin a Vermentonn,TRIP,Corgoloin,Vermenton,
S004036,Je pars de Fréjus pour aller a Bruyères,TRIP,Fréjus,Bruyères,
S000619,J'aimerais aller de Pertuis a Lezoux,TRIP,Pertuis,Lezoux,
S006626,Dei Port-Xainte-Marie a Barsac via Champigneulles,TRIP,Port-Sainte-Marie,Barsac,Champigneulles
S006234,"Je pars de Lalinde, je passe par Laroque-Timbaut et j'arrive a Lurbe-Saint-Christau",TRIP,Lalinde,Lurbe-Saint-Christau,Laroque-Timbaut
S003174,voyage de gannat a vendenheim,TRIP,Gannat,Vendenheim,
S003204,Je vais de Dreux a La Ménitré,TRIP,Dreux,La Ménitré,
S009980,ab,UNKNOWN,,,
S002030,pourriez-vous me trouver un train de le havre a feuquières - broquiers,TRIP,Le Havre,Feuquières - Broquiers,
S003964,je dois aller de daours a portets,TRIP,Daours,Portets,
S003318,Je veux prendre le train de Bressuire a Bedous,TRIP,Bressuire,Bedous,
S008940,Un biglietto per Marsiglia,NOT_FRENCH,,,
S008277,Partir,NOT_TRIP,,,
S009433,How do I get to Marseille,NOT_FRENCH,,,
S006129,wattignies - templemars villefranche-du-périgord via vichy,TRIP,Wattignies - Templemars,Villefranche-du-Périgord,Vichy
S007045,Bonjour,NOT_TRIP,,,
S008056,Qu'est-ce que tu peux faire,NOT_TRIP,,,
S008280,Les trains sont souvent en retard,NOT_TRIP,,,
S002666,je dois aller de l'abbaye a trilport,TRIP,L'Abbaye,Trilport,
S005378,Je pars de Avenue du Présidennt Kennedy Maison de Radio France et je vaks a Fellerig,TRIP,Avenue du Président Kennedy Maison de Radio France,Fellering,
S003560,Uzerche - Mareil-Marly,TRIP,Uzerche,Mareil-Marly,
S003073,Je me rends a Saint-Yrieix-la-Perche depuis Saint-Amand-Montrond - Orval,TRIP,Saint-Amand-Montrond - Orval,Saint-Yrieix-la-Perche,
S003749,Comment aller de Naintre a Saint-Thegonnec ?,TRIP,Naintré,Saint-Thégonnec,
S001295,Un billet de Portet Saint-Simon a Audrieu,TRIP,Portet Saint-Simon,Audrieu,
S006889,"Je pars de La Rochelle, je passe par Lyon Saint-Paul et j'arrive a Lisle-sur-Tarn",TRIP,La Rochelle,Lisle-sur-Tarn,Lyon Saint-Paul
S006508,Je oudrais aller de Nançois - Tronvillz a Saintt-Jean-dr-Mauriennei Arvan en passant par Ambronaay - Priay,TRIP,Nançois - Tronville,Saint-Jean-de-Maurienne Arvan,Ambronay - Priay
S000882,Partir de Bellegarde-sur-Valserine pour Allée de ls Tour Rdndez-Vous,TRIP,Bellegarde-sur-Valserine,Allée de la Tour Rendez-Vous,
S007735,J'ai rencontre Marseille hier,NOT_TRIP,,,
S007788,Salut,NOT_TRIP,,,
S009492,Ein Zug nach Marseille bitte,NOT_FRENCH,,,
S002837,Depart Saint-Cyr Les Lecques - La Cadiere arrivee Paris Saint-Lazare,TRIP,Saint-Cyr Les Lecques - La Cadière,Paris Saint-Lazare,
S005444,je veux prendre le train de ourscamp a le creusot - montceau-les-mines - montchanin tgv,TRIP,Ourscamp,Le Creusot - Montceau-les-Mines - Montchanin TGV,
S005497,je pars de peltre et je vais a issé,TRIP,Peltre,Issé,
S008499,Ok,NOT_TRIP,,,
S008193,Il fait bdau aujourd'gui,NOT_TRIP,,,
S006350,Avranches puis Nanteuil-le-Haudouin puis Saint-Chély-d'Apcher,TRIP,Avranches,Saint-Chély-d'Apcher,Nanteuil-le-Haudouin
S008382,Mon ami Lyon va bien,NOT_TRIP,,,
S005818,J'aimerais un billet de Saint-Martin-de-Crau a Vidauban,TRIP,Saint-Martin-de-Crau,Vidauban,
S008237,Aujourd'hui,NOT_TRIP,,,
S006964,De Le Bousquet-d'Orb vers La Frayère avec correspondance a NNeuillé-Pont-Pidrre,TRIP,Le Bousquet-d'Orb,La Frayère,Neuillé-Pont-Pierre
S008307,Hey,NOT_TRIP,,,
S002389,Voyage de Cuinchy a Ebersheim,TRIP,Cuinchy,Ebersheim,
S003774,je voudrais aller de volvic a moosch,TRIP,Volvic,Moosch,
S004851,stephansfeld direction ollioules - sanary-sur-mer,TRIP,Stephansfeld,Ollioules - Sanary-sur-Mer,
S009266,Ein Zug nach Marseille bitte,NOT_FRENCH,,,
S003607,Sermizelles - Vezelay Mailly-la-Ville,TRIP,Sermizelles - Vézelay,Mailly-la-Ville,
S008545,Como llego a Marsella,NOT_FRENCH,,,
S006760,Train de Deuil - Montmagny a Chateau-Thierry passant par La Ciotat - Ceyreste,TRIP,Deuil - Montmagny,Château-Thierry,La Ciotat - Ceyreste
S001525,depart de groslay arrivee a nieul,TRIP,Groslay,Nieul,
S006884,Aller de Wallers a Villeneuve-le-Roi avec un arret a Lavilletertre,TRIP,Wallers,Villeneuve-le-Roi,Lavilletertre
S003566,Je voudrais prendr un train de Boën-sur-Lignon a Vidauban,TRIP,Boën-sur-Lignon,Vidauban,
S004714,Quel train de Bruyères-sur-Oise a Homécourt ?,TRIP,Bruyères-sur-Oise,Homécourt,
S009861,qwerty,UNKNOWN,,,
S005176,Me rendre de Champagne-sur-Oise a Montigny-en-Ostrevent,TRIP,Champagne-sur-Oise,Montigny-en-Ostrevent,
S001694,Je doiz aller d Châtillon d'Azerguess a Meulan - Hardricourt demaain,TRIP,Châtillon d'Azergues,Meulan - Hardricourt,
S000670,Je veux prendre le train de Bueil a Remy,TRIP,Bueil,Remy,
S006219,De Villenave-d'Ornon a Cysoing via Epanvilliers,TRIP,Villenave-d'Ornon,Cysoing,Épanvilliers
S009790,test test test,UNKNOWN,,,
S001837,Comment aller de Aguilcourt - Variscourt a Dieppe ?,TRIP,Aguilcourt - Variscourt,Dieppe,
S008704,I want to go from Paris to Lyon,NOT_FRENCH,,,
S001106,Je voudrais me rendre a Chatellerault depuis Maisons-Alfort - Alfortville,TRIP,Maisons-Alfort - Alfortville,Châtellerault,
S007309,Voyage,NOT_TRIP,,,
S006110,je voudrais aller de olette - canaveilles a regny en passant par bonnieres-sur-seine,TRIP,Olette - Canaveilles,Régny,Bonnières-sur-Seine
S000645,Je vais de Montreuil sur Mer a Ingrandes-Le Fresne-sur-Loire,TRIP,Montreuil sur Mer,Ingrandes-Le Fresne-sur-Loire,
S006210,De Pamiers a Petit Jouy - Les Loges en passant par Bayeux,TRIP,Pamiers,Petit Jouy - Les Loges,Bayeux
S000849,Vernaison direction Sin-le-Noble,TRIP,Vernaison,Sin-le-Noble,
S009889,???,UNKNOWN,,,
S005768,Un billet de Uzerche a Sanry-sur-Nied,TRIP,Uzerche,Sanry-sur-Nied,
S000181,Tain-l'Hermitageu - Tournona puis Mehun-sur-Yèvre,TRIP,Tain-l'Hermitage - Tournon,Mehun-sur-Yèvre,
S006172,Aller de Caondé-sur-Huisne a Nice avec un arret a Briare,TRIP,Condé-sur-Huisne,Nice,Briare
S009682,!!!,UNKNOWN,,,
S006484,annappes puis anse halte puis vauboyen,TRIP,Annappes,Vauboyen,Anse Halte
S004995,Je veux me rendre a La Teste-de-Buch en partant de Le Meridien La Ferriere,TRIP,Le Méridien La Ferrière,La Teste-de-Buch,
S002158,je pars de mamirolle et je vais a pont-remy,TRIP,Mamirolle,Pont-Remy,
S002757,Voyager de Dégagnac vers Ay,TRIP,Dégagnac,Ay,
S003134,Voyager de Écouen - Ézanville vers Pouilly-sur-Loire,TRIP,Écouen - Ézanville,Pouilly-sur-Loire,
S004822,Train de Hesdigneul-lès-Boulogne a Saint-Ay,TRIP,Hesdigneul-lès-Boulogne,Saint-Ay,
S009965,test test test,UNKNOWN,,,
S002289,Partir de Aiguillon pour Chasse-sur-Rhône,TRIP,Aiguillon,Chasse-sur-Rhône,
S000966,Luc-en-Diois piis Notre-Daame de Biannçon,TRIP,Luc-en-Diois,Notre-Dame de Briançon,
S008810,Un billete de tren por favor,NOT_FRENCH,,,
S006505,Aller de Hoelschloch a Saint-Rambert-d'Albon avec un arret a Le Grau-du-Roi,TRIP,Hoelschloch,Saint-Rambert-d'Albon,Le Grau-du-Roi
S007165,Tu fais quoi,NOT_TRIP,,,
S008003,Mon ami Lyon va bien,NOT_TRIP,,,
S001788,Je voudrais aller de Aubiat a Le Bousquet-d'Orb,TRIP,Aubiat,Le Bousquet-d'Orb,
S005492,Cordes - Vindrac - TThionviole,TRIP,Cordes - Vindrac,Thionville,
S005114,Billet La Brillanne - Oraison Moyeuvre-Grande,TRIP,La Brillanne - Oraison,Moyeuvre-Grande,
S005355,partir de brumath pour annemasse,TRIP,Brumath,Annemasse,
S006182,fegersheim - lipsheim puis brionne puis la forest-landerneau,TRIP,Fegersheim - Lipsheim,La Forest-Landerneau,Brionne
S004028,Comment aller de Stephansfeld a Leval ?,TRIP,Stephansfeld,Leval,
S007974,j'aime les trains,NOT_TRIP,,,
S000875,Je veux prendre le train de Chauffailles a La Baule Les Pins,TRIP,Chauffailles,La Baule Les Pins,
S003015,Un train de Messac - Guipry a Saint-Laurent-de-la-Prée - Fouras,TRIP,Messac - Guipry,Saint-Laurent-de-la-Prée - Fouras,
S004077,de savigny-sur-orge jusqu'a montbartier,TRIP,Savigny-sur-Orge,Montbartier,
S003359,Je vais a Châtellerault depuis Saint-Maurice-de-Beynost,TRIP,Saint-Maurice-de-Beynost,Châtellerault,
S003072,me rendre de bantzenheim a cires-les-mello,TRIP,Bantzenheim,Cires-lès-Mello,
S000787,Valognes direction Briouze,TRIP,Valognes,Briouze,
S000723,je pars de lamonzie-saint-martin pour aller a laissey,TRIP,Lamonzie-Saint-Martin,Laissey,
S008688,Book a ticket for me,NOT_FRENCH,,,
S005667,Bourg-en-Bresse - Le Quesnoy,TRIP,Bourg-en-Bresse,Le Quesnoy,
S005308,Je veux me rendre a Huriel en partant de Bar-le-Duc,TRIP,Bar-le-Duc,Huriel,
S006730,Je veux passer par Suevres pour aller de Gimont Cahuzac a Romorantin-Lanthenay,TRIP,Gimont Cahuzac,Romorantin-Lanthenay,Suèvres
S009402,Train from Paris to Bordeaux please,NOT_FRENCH,,,
S006429,De Marles-en-Brie a Simandre-sur-Suran en passant par Saône,TRIP,Marles-en-Brie,Simandre-sur-Suran,Saône
S009779,   ,UNKNOWN,,,
S006650,Aller de Mormant a Gevrey-Chambertin avec un arret a Gresswiller,TRIP,Mormant,Gevrey-Chambertin,Gresswiller
S000509,Ce soir je vais de Chepy-Valines a Méricourt - Ribemont,TRIP,Chepy-Valines,Méricourt - Ribemont,
S009091,I need to travel tomorrow,NOT_FRENCH,,,
S002902,Je veux aller de Chamonix-Mont-Blanc a Marssac-sur-Tarn,TRIP,Chamonix-Mont-Blanc,Marssac-sur-Tarn,
S004035,De Boussens jusqu'a Chemilly - Appoigny,TRIP,Boussens,Chemilly - Appoigny,
S004500,Me rendre de Sommery a Pamproux,TRIP,Sommery,Pamproux,
S005746,Y a-t-il un train dd Lispn a Ogeu-les-Bains ?,TRIP,Lison,Ogeu-les-Bains,
S008926,I want aller a Paris,NOT_FRENCH,,,
S000154,Y a-t-il un train de Lyon Saint-Exupéry TGV a Bonnières-sur-Seine ?,TRIP,Lyon Saint-Exupéry TGV,Bonnières-sur-Seine,
S006034,"Je pars de Sévérac-d'Aveyron, je passe par Fromental et j'arrive a Mesves - Bulcy",TRIP,Sévérac-d'Aveyron,Mesves - Bulcy,Fromental
S001991,Billet Dannes - Camiers Heilles - Mouchy,TRIP,Dannes - Camiers,Heilles - Mouchy,
S007656,je veux aller,NOT_TRIP,,,
S002845,Un train de Le Vernet d'Ariège a Malaunay - Le Houlme,TRIP,Le Vernet d'Ariège,Malaunay - Le Houlme,
S001083,un billet de metz a hargicourt - pierrepont,TRIP,Metz,Hargicourt - Pierrepont,
S002071,un billet de bruyères a nonancourt,TRIP,Bruyères,Nonancourt,
S008870,I want aller a Paris,NOT_FRENCH,,,
S006842,"Je pars de Mérignac Arlac, je passe par Athis-Mons et j'arrive a Eu",TRIP,Mérignac Arlac,Eu,Athis-Mons
S008051,Nice de te rencontrer,NOT_TRIP,,,
S006241,De Tarbes a Guérard - La Celle-sur-Morin en passant par Tournan-en-Brie,TRIP,Tarbes,Guérard - La Celle-sur-Morin,Tournan-en-Brie
S009992,asdfghjkl,UNKNOWN,,,
S002531,je dois aller de provenchères-sur-fave a conflans-sainte-honorine demain,TRIP,Provenchères-sur-Fave,Conflans-Sainte-Honorine,
S000897,voyager de choisy-le-roi vers labergement-sainte-marie,TRIP,Choisy-le-Roi,Labergement-Sainte-Marie,
S005340,"Bonjour, je voudrais aller de Savennières - Béhuard a Menton Garavan",TRIP,Savennières - Béhuard,Menton Garavan,
S002542,"s'il vous plait, un trajet de niederbronn-les-bains a bougival",TRIP,Niederbronn-les-Bains,Bougival,
S009330,I want aller a Paris,NOT_FRENCH,,,
S007502,super,NOT_TRIP,,,
S008852,Book a ticket for me,NOT_FRENCH,,,
S003771,Je veux prendre le train de Tarbes a Lunas,TRIP,Tarbes,Lunas,
S009069,I need to travel tomorrow,NOT_FRENCH,,,
S002409,Voyage de Sainte-Maure - Noyant a Voivres-lès-le-Mans,TRIP,Sainte-Maure - Noyant,Voivres-lès-le-Mans,
S002563,Veynes Dévoluy puis Thann,TRIP,Veynes Dévoluy,Thann,
S000377,partir de verrey-sous-salmaise pour virieu sur bourbre,TRIP,Verrey-sous-Salmaise,Virieu sur Bourbre,
S002820,Je voudrais aller de Bidarray Pont Noblia a Saint-Pierre-d'Albigny,TRIP,Bidarray Pont Noblia,Saint-Pierre-d'Albigny,
S004031,Depart de Pleyber-Christ arrivee a Mouroux,TRIP,Pleyber-Christ,Mouroux,
S002203,chaville rive gauche - chateau-renault,TRIP,Chaville Rive Gauche,Château-Renault,
S002214,un train de longueil-sainte-marie a janzé pour demain,TRIP,Longueil-Sainte-Marie,Janzé,
S007729,D'accord,NOT_TRIP,,,
S003446,Rothau vers Niversac,TRIP,Rothau,Niversac,
S009821,   ,UNKNOWN,,,
S005157,"Bonjour, je voudrais aller de Thourotte a Cros de Cagnes",TRIP,Thourotte,Cros de Cagnes,
S009930,   ,UNKNOWN,,,
S009519,ab,UNKNOWN,,,
S002543,raon-l'étape le teich,TRIP,Raon-l'Étape,Le Teich,
S001423,"Bonjour, je voudrais aller de Mirecourt a Hettange-Grande",TRIP,Mirecourt,Hettange-Grande,
S004648,Comment aller de Le Creusot - Montceau-les-Mines - Montchanin TGV a Neuillé-Pont-Pierre,TRIP,Le Creusot - Montceau-les-Mines - Montchanin TGV,Neuillé-Pont-Pierre,
S009002,Como llego a Marsella,NOT_FRENCH,,,
S006497,Je veux passer par Revin pour aller de Saint-Joseph le Castellas a Hirson Écoles,TRIP,Saint-Joseph le Castellas,Hirson Écoles,Revin
S006543,je voudrais aller de le luc - le cannet a ermont - eaubonne en passant par morre,TRIP,Le Luc - Le Cannet,Ermont - Eaubonne,Morre
S005739,Je voudrais me rendre a Brion - Montreal-la-Cluse depuis Mont de Terre,TRIP,Mont de Terre,Brion - Montréal-la-Cluse,
S008461,Les trains sont souveny en reetard,NOT_TRIP,,,
S002573,un train de les sables blancs a saint-mars-la-briere pour demain,TRIP,Les Sables Blancs,Saint-Mars-la-Brière,
S009388,I want aller a Paris,NOT_FRENCH,,,
S004253,Ce soir je vais de L'Abbaye a Serres,TRIP,L'Abbaye,Serres,
S008257,Tu fais quoi,NOT_TRIP,,,
S008714,Ein Zug nach Marseille bitte,NOT_FRENCH,,,
S002436,"Bonjour, je voudrais aller de Les Trillers a Dourdan",TRIP,Les Trillers,Dourdan,
S001998,Un train de Broons a Savenay,TRIP,Broons,Savenay,
S004226,Je veux aller de Le Puy-en-Velay a Noyal - Acigné,TRIP,Le Puy-en-Velay,Noyal - Acigné,
S001013,Un train de Kuntzig a Loongueaau,TRIP,Kuntzig,Longueau,
S004733,De Mussidan jusqu'a Manduel-Redessan,TRIP,Mussidan,Manduel-Redessan,
S009882,asdfghjkl,UNKNOWN,,,
S001119,Je voidrais prendre jn train de Luzarches a Guignicourt,TRIP,Luzarches,Guignicourt,
S009050,I would like a train ticket,NOT_FRENCH,,,
S007556,Nancy est ma soeur,NOT_TRIP,,,
S006436,je voudrais aller de crécy-la-chapelle a thourotte en passant par thouaré-sur-loire,TRIP,Crécy-la-Chapelle,Thourotte,Thouaré-sur-Loire
S000230,Ce soir je vais de La Porcherie a Boussy-Saint-Antoine,TRIP,La Porcherie,Boussy-Saint-Antoine,
S004261,prendre le train de beauvoir-sur-niort a saint-agnan,TRIP,Beauvoir-sur-Niort,Saint-Agnan,
S008388,Coucou,NOT_TRIP,,,
S008028,Aide moi,NOT_TRIP,,,
S008442,Arriver,NOT_TRIP,,,
S009034,Can you help me,NOT_FRENCH,,,
S003137,La Forest-Landerneau - Steinbourg,TRIP,La Forest-Landerneau,Steinbourg,
S007896,D'accord,NOT_TRIP,,,
S007448,Bonsooir,NOT_TRIP,,,
S002061,J'aimerais aller de Cordes - inodrac a Seyssel - Corbonod,TRIP,Cordes - Vindrac,Seyssel - Corbonod,
S004395,comment aller de béning-lès-saint-avold a massiac - blesle ?,TRIP,Béning-lès-Saint-Avold,Massiac - Blesle,
S009953,!!!,UNKNOWN,,,
S009870,blablabla,UNKNOWN,,,
S006243,De Messein a Grandvillars via Épanvilliers,TRIP,Messein,Grandvillars,Épanvilliers
S002330,je voyage de la ferté-bernard a pont cardinet,TRIP,La Ferté-Bernard,Pont Cardinet,
S007275,Aide moi,NOT_TRIP,,,
S006635,de saint-joseph le castellas vers grigny le sablon avec correspondance a meung-sur-loire,TRIP,Saint-Joseph le Castellas,Grigny le Sablon,Meung-sur-Loire
S008316,tu fais quoi,NOT_TRIP,,,
S000183,Chevillon direction Saint-Germain-les-Belles,TRIP,Chevillon,Saint-Germain-les-Belles,
S005024,Je dois sller de Boug-Macame a Saaillagouse demain,TRIP,Bourg-Madame,Saillagouse,
S002683,direction boisset au depart de montargis,TRIP,Montargis,Boisset,
S004802,Je dois aller de Avignon TGV a Aiserey,TRIP,Avignon TGV,Aiserey,
S002231,Direction Le Buisson-de-Cadouin au depart de Ménil Flin,TRIP,Ménil Flin,Le Buisson-de-Cadouin,
S007509,arriver,NOT_TRIP,,,
S008088,nice de te rencontrer,NOT_TRIP,,,
S001906,Quel train de Ris-Orangis a Montluçon Rimard ?,TRIP,Ris-Orangis,Montluçon Rimard,
S004852,un train de lavaveix-les-mines a vierzon pour demain,TRIP,Lavaveix-les-Mines,Vierzon,
S007236,C'est trop cher,NOT_TRIP,,,
S000935,Vallon-en-Sually Carcassonne,TRIP,Vallon-en-Sully,Carcassonne,
S006634,Pins-Justaret Nezel - Aulnay via Chaulnes,TRIP,Pins-Justaret,Nézel - Aulnay,Chaulnes
S004693,leucate la franqui - fontenoy-sur-moselle,TRIP,Leucate La Franqui,Fontenoy-sur-Moselle,
S003412,Varades - Saint-Florent le Vieil direction Maroeuil,TRIP,Varades - Saint-Florent le Vieil,Maroeuil,
S000253,billet mauzens-miremont saint-pierre-quiberon,TRIP,Mauzens-Miremont,Saint-Pierre-Quiberon,
S007936,Super,NOT_TRIP,,,
S000752,un billet de saint-pol-sur-ternoise a raon-l'étape,TRIP,Saint-Pol-sur-Ternoise,Raon-l'Étape,
S001140,Depart de Chateau-du-Loir arrivee a Bischoffsheim,TRIP,Château-du-Loir,Bischoffsheim,
S002215,prendre le train de rivarennes a le breuil-sur-couze,TRIP,Rivarennes,Le Breuil-sur-Couze,
S009805,qwerty,UNKNOWN,,,
S006586,Aller de Saint-Senoux - Pléchâtel a Chasseneuil-du-Poitou avec un arret a Kilstett,TRIP,Saint-Senoux - Pléchâtel,Chasseneuil-du-Poitou,Kilstett
S004482,Direction Chazay - Marcilly au depart de Rémilly,TRIP,Rémilly,Chazay - Marcilly,
S004015,JJ'aierais aller de Mézérkat a Mâlan,TRIP,Mézériat,Mâlain,
S005992,je voudrais aller de entzheim aeroport a barsac en passant par bidarray pont noblia,TRIP,Entzheim Aéroport,Barsac,Bidarray Pont Noblia
S006087,De Guérard - La Celle-sur-Morin a Bouffémont - Moisselles en passant par Plestan,TRIP,Guérard - La Celle-sur-Morin,Bouffémont - Moisselles,Plestan
S009968,lorem ipsum,UNKNOWN,,,
S003533,Depart de La Ferté-Saint-Aubin arrivee a Dourges,TRIP,La Ferté-Saint-Aubin,Dourges,
S009087,I want to go from Paris to Lyon,NOT_FRENCH,,,
S006811,De Steinbourg a Bagnols-sur-Cèze en passant par Delle,TRIP,Steinbourg,Bagnols-sur-Cèze,Delle
S000566,Voyager de Maisons-Laffitte vers Bois-le-Roi,TRIP,Maisons-Laffitte,Bois-le-Roi,
S009175,Ein Zug nach Marseille bitte,NOT_FRENCH,,,
